"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.041008858E0,4.871540070E-1,-2.397608161E-1,1.360597610E-1,5.597468481E-1
1.046060733E0,5.835099220E-1,-3.766775727E-1,1.637115479E-1,7.135623966E-1
1.051112608E0,6.325016022E-1,-4.175962508E-1,9.994888306E-2,7.644832795E-1
1.056164483E0,4.169511795E-1,-2.431611419E-1,1.489467621E-1,5.051344028E-1
1.061216358E0,8.194160461E-1,-7.998124361E-1,-1.478900909E-1,1.154562284E0
1.066268233E0,8.000154495E-1,-5.104768276E-1,-2.137680054E-1,9.727836713E-1
1.071320108E0,6.520776749E-1,-4.021619856E-1,-1.064009666E-1,7.734731556E-1
1.076371983E0,6.639189720E-1,-2.654159665E-1,8.155822754E-2,7.196428150E-1
1.081423858E0,6.191124916E-1,-1.095710993E-1,2.344388962E-1,6.710198947E-1
1.086475733E0,6.070985794E-1,2.874714136E-2,3.729190826E-1,7.130664243E-1
1.091527608E0,5.324220657E-1,1.249910593E-1,4.427313805E-1,7.036384698E-1
1.096579483E0,4.254641533E-1,1.236535311E-1,5.665659904E-1,7.192405460E-1
1.101631358E0,3.722972870E-1,1.610956788E-1,5.512180328E-1,6.843963818E-1
1.106683233E0,3.109688759E-1,1.904863715E-1,3.476071358E-1,5.038029579E-1
1.111735108E0,3.128514290E-1,1.925504804E-1,2.541270256E-1,4.466903281E-1
1.116786983E0,2.159147263E-1,1.127814651E-1,2.603116035E-1,3.565122141E-1
1.121838858E0,1.561422348E-1,5.995231867E-2,1.969785690E-1,2.584090452E-1
1.126890733E0,6.698608398E-2,6.338000298E-2,7.027387619E-2,1.159421317E-1
1.131942608E0,3.573846817E-2,4.641652107E-2,-4.847383499E-2,7.603580876E-2
1.136994483E0,-3.325939178E-3,2.941668034E-3,-9.416246414E-2,9.426709360E-2
1.142046358E0,-1.097455025E-1,7.669931650E-2,-8.971881866E-2,1.611717310E-1
1.147098233E0,-2.084021568E-1,7.930481434E-2,-1.349473000E-1,2.606366941E-1
1.152150108E0,-2.792658806E-1,1.874023676E-2,-1.817665100E-1,3.337359625E-1
1.157201983E0,-3.367385864E-1,-4.685461521E-3,-1.910705566E-1,3.871986399E-1
1.162253858E0,-3.738322258E-1,7.264894247E-2,-1.893000603E-1,4.252798075E-1
1.167305733E0,-4.489412308E-1,8.576136827E-2,-5.183744431E-2,4.599895234E-1
1.172357608E0,-4.651865959E-1,8.164399862E-2,8.553981781E-2,4.799805954E-1
1.177409483E0,-4.112849236E-1,4.405909777E-2,1.743040085E-1,4.488634311E-1
1.182461358E0,-2.794985771E-1,2.322125435E-2,2.778077126E-1,3.947604418E-1
1.187513233E0,-9.173154831E-2,2.270787954E-2,3.542242050E-1,3.666130278E-1
1.192565108E0,1.054954529E-1,-8.528053761E-3,4.450392723E-1,4.574516064E-1
1.197616983E0,3.418865204E-1,-6.092035770E-2,5.203008652E-1,6.255482980E-1
1.202668858E0,5.021514893E-1,-1.485448480E-1,6.000199318E-1,7.963953846E-1
1.207720733E0,6.105442047E-1,-1.912529469E-1,6.047959328E-1,8.804090162E-1
1.212772608E0,6.828360558E-1,-2.134039998E-1,5.614767075E-1,9.094297330E-1
1.217824483E0,7.217078209E-1,-2.020352483E-1,4.645299911E-1,8.817417609E-1
1.222876358E0,7.283492088E-1,-1.431734562E-1,3.955154419E-1,8.410848193E-1
1.227928233E0,6.293344498E-1,-1.170984507E-1,2.498302460E-1,6.871601332E-1
1.232980108E0,5.139179230E-1,-9.811437130E-2,9.543323517E-2,5.318322703E-1
1.238031983E0,4.586110115E-1,-6.133824587E-2,-1.534700394E-2,4.629492098E-1
1.243083858E0,3.462438583E-1,-8.167564869E-3,-5.882263184E-2,3.512999012E-1
1.248135733E0,2.783098221E-1,4.821920395E-2,1.019096375E-2,2.826398847E-1
1.253187608E0,2.318267822E-1,8.042460680E-2,-1.493453979E-2,2.458349341E-1
1.258239483E0,1.530570984E-1,1.110197306E-1,-6.251335144E-3,1.891849231E-1
1.263291358E0,7.189893723E-2,1.449830532E-1,7.571220398E-3,1.620088463E-1
1.268343233E0,-1.175403595E-2,1.524682045E-1,-3.894948959E-2,1.578029578E-1
1.273395108E0,-6.337213516E-2,8.461236954E-2,-2.979755402E-2,1.098324853E-1
1.278446983E0,-1.979298592E-1,-2.230191231E-2,-3.870487213E-2,2.029080372E-1
1.283498858E0,-3.124251366E-1,-4.386055470E-2,-1.319408417E-2,3.157646245E-1
1.288550733E0,-3.680305481E-1,-4.327356815E-3,4.365444183E-3,3.680818760E-1
1.293602608E0,-4.566082954E-1,2.676033974E-2,2.202510834E-2,4.579217801E-1
1.298654483E0,-5.005731583E-1,8.626973629E-2,1.453533173E-1,5.283403647E-1
1.303706358E0,-4.773039818E-1,1.335129738E-1,2.161502838E-1,5.407085633E-1
1.308758233E0,-4.144101143E-1,1.055979729E-1,2.345137596E-1,4.877328963E-1
1.313810108E0,-3.808231354E-1,6.584709883E-2,2.883791924E-1,4.822081080E-1
1.318861983E0,-3.001618385E-1,6.786829233E-2,3.155465126E-1,4.407639232E-1
1.323913858E0,-2.590889931E-1,5.183511972E-2,2.669901848E-1,3.756297975E-1
1.328965733E0,-2.050032616E-1,6.777352095E-2,3.345437050E-1,3.981696597E-1
1.334017608E0,-2.206130028E-1,1.467615366E-2,3.339824677E-1,4.005368587E-1
1.339069483E0,-1.783113480E-1,-1.368137002E-1,1.008105278E-1,2.463243550E-1
1.344121358E0,-8.452987671E-2,-2.209677100E-1,-1.266932487E-1,2.683713998E-1
1.349173233E0,-2.659749985E-2,-2.894796133E-1,-1.547465324E-1,3.293210634E-1
1.354225108E0,-6.051492691E-2,-2.841343284E-1,-9.722423553E-2,3.063444547E-1
1.359276983E0,-3.628778458E-2,-2.422043681E-1,-5.642652512E-2,2.513239184E-1
1.364328858E0,2.657413483E-3,-1.578406692E-1,-7.005691528E-3,1.580184116E-1
1.369380733E0,3.562593460E-2,4.425883293E-3,9.898900986E-2,1.052977670E-1
1.374432608E0,6.953144073E-2,1.407834291E-1,1.676173210E-1,2.296740331E-1
1.379484483E0,1.517834663E-1,2.245271206E-1,2.005605698E-1,3.371575161E-1
1.384536358E0,2.417259216E-1,2.324538827E-1,2.716140747E-1,4.315558299E-1
1.389588233E0,3.335499763E-1,2.232396603E-1,3.338689804E-1,5.220728194E-1
1.394640108E0,3.988757133E-1,1.921387911E-1,2.921781540E-1,5.304594456E-1
1.399691983E0,4.140777588E-1,1.389985085E-1,2.864274979E-1,5.223233550E-1
1.404743858E0,3.669557571E-1,8.063220978E-2,1.815400124E-1,4.172707239E-1
1.409795733E0,2.524213791E-1,4.536747932E-2,1.109118462E-1,2.794211846E-1
1.414847608E0,1.459732056E-1,1.505851746E-2,4.083967209E-2,1.523247009E-1
1.419899483E0,-1.170825958E-2,9.962499142E-3,-7.990026474E-2,8.136576084E-2
1.424951358E0,-1.192970276E-1,-2.363163233E-2,-1.344275475E-1,1.812760336E-1
1.430003233E0,-2.185182571E-1,-3.824615479E-2,-2.091784477E-1,3.049075598E-1
